id,clave
1,3A101
2,3A102
3,3A103
4,3A201
5,3A202
6,3A601
7,3A602
8,3A603
9,3B-101
10,3B101
11,3B102
12,3B103
13,3B104
14,3B105
15,3B106
16,3B108
17,3B109
18,3B409
19,3B410
20,3B411
21,3B412
22,3B413
23,3B414
24,3B415
25,3B416
26,3B417
27,3B418
28,3C101
29,3C102
30,3C103
31,3C104
32,3C105
33,3C107
34,3C109
35,3E101
36,3E102
37,3E103
38,3E104
39,3E105
40,3E106
41,3E107
42,3E108
43,3E110
44,3E111
45,3E113
46,3E114
47,3E115
48,3F101
49,3F102
50,3F103
51,3F104
52,3F105
53,3F107
54,3F108
55,3F109
56,3F110
57,3F111
58,3G101
59,3G102
60,3H101
61,3H102
62,3H103
63,3H104
64,3I101
65,3I102
66,3I103
67,3J101
68,3J104
69,3J107
70,3J108
71,3J110
72,3J111
73,3J112
74,3K101
75,3K102
76,3K103
77,3K108
78,3K109
79,3K110
80,3K111
81,3K112
82,3K113
83,3K116
84,3K118
85,3K119
86,3K201
87,3K203
88,3K204
89,3K206
90,3K207
91,3K208
92,3K209
93,3K211
94,3L101
95,3M101
96,3M102
97,3P101
98,3P102
99,3P103
100,3Q101
101,3R102
102,3R103
103,3S101
104,3S102
105,3T101
106,3U101
107,3W101
108,4A101
109,4A102
110,4A103
111,4F101
112,4G102
113,4H101
114,4I101
115,4K101
116,4K102
117,4K201
118,4P101
119,DR202
120,DR202A
121,DR202B
122,DR301
123,DR301A
124,DR301B
125,DR401
126,DR401A
127,DR501
128,DR601
129,DR601A
130,DR701
131,DR701A
132,DR701B
133,IND
134,IND-101
135,IND-102
136,IND-104
137,IND-106
138,IND-108
139,IND-109
140,IND-110
141,IND-111
142,IND-112
143,IND-113
144,IND-114
145,IND-117
146,IND-119
147,IND-121
148,IND-125
149,IND-128
150,IND-130
151,IND-131
152,IND-133
153,IND-502
154,IND-526
155,IND-554
156,IND-565
157,IND-582
