dependencia_id,delegacion_id
1,1
17,1
1,2
17,2
1,3
18,4
18,5
6,6
6,7
6,8
1,9
2,9
15,9
1,10
2,10
15,10
37,10
2,11
15,11
2,12
2,13
15,13
37,13
2,14
15,15
37,16
1,17
2,17
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
15,25
15,26
15,27
3,28
3,29
3,30
3,31
3,32
3,33
3,34
11,35
11,36
11,37
11,38
11,39
11,40
11,41
5,42
11,42
15,42
11,43
11,44
11,45
11,46
11,47
12,48
12,49
12,50
12,51
12,52
12,53
12,54
12,55
12,56
12,57
14,58
14,59
20,60
20,61
20,62
20,63
21,64
21,65
21,66
10,67
10,68
10,69
10,70
10,71
10,72
10,73
4,74
4,75
4,76
4,77
4,78
4,79
4,80
4,81
4,82
4,83
4,84
4,85
49,86
49,87
49,88
49,89
49,90
49,91
49,92
49,93
24,94
8,95
8,96
7,97
20,97
7,98
7,99
22,100
2,101
16,101
16,102
62,103
15,104
9,105
23,106
2,107
5,107
51,108
51,109
51,110
86,111
67,112
80,113
42,114
31,115
31,116
32,117
26,118
10,119
11,119
12,119
15,119
18,119
20,119
21,119
31,119
32,119
3,120
6,120
11,120
15,120
18,120
6,121
9,121
10,121
11,121
15,121
18,121
2,122
3,122
6,122
10,122
11,122
15,122
18,122
20,122
31,122
32,122
62,122
3,123
6,123
10,123
11,123
15,123
18,123
62,123
3,124
5,124
6,124
10,124
11,124
12,124
15,124
18,124
32,124
62,124
3,125
6,125
10,125
11,125
18,125
20,125
32,125
62,125
6,126
7,126
10,126
11,126
15,126
18,126
32,126
51,126
62,126
2,127
3,127
6,127
10,127
11,127
16,127
18,127
20,127
32,127
62,127
3,128
6,128
10,128
11,128
15,128
18,128
62,128
6,129
11,129
15,129
18,129
62,129
3,130
6,130
10,130
11,130
15,130
18,130
15,131
62,131
11,132
15,132
62,132
1,133
2,133
3,133
4,133
5,133
6,133
7,133
8,133
9,133
10,133
11,133
12,133
14,133
15,133
17,133
20,133
22,133
23,133
24,133
26,133
42,133
62,133
67,133
80,133
1,134
2,135
3,136
4,137
5,138
6,139
7,140
8,141
9,142
10,143
11,144
12,145
14,146
15,147
17,148
20,149
22,150
23,151
24,152
26,153
42,154
62,155
67,156
80,157
